day,Team_A_skill_sol_flag,Team_A_pref_sol_flag,Team_A_total_skills,Team_A_work_cost,Team_A_train_cost,Team_A_excess_after_skill,Team_A_excess_after_pref,Team_A_present,Team_A_gohome_cost,Team_A_gohome_skill_sol_flag,Team_A_pref_match_after_skill,Team_A_pref_match_after_pref,Team_B_skill_sol_flag,Team_B_pref_sol_flag,Team_B_total_skills,Team_B_work_cost,Team_B_train_cost,Team_B_excess_after_skill,Team_B_excess_after_pref,Team_B_present,Team_B_gohome_cost,Team_B_gohome_skill_sol_flag,Team_B_pref_match_after_skill,Team_B_pref_match_after_pref,Team_C_skill_sol_flag,Team_C_pref_sol_flag,Team_C_total_skills,Team_C_work_cost,Team_C_train_cost,Team_C_excess_after_skill,Team_C_excess_after_pref,Team_C_present,Team_C_gohome_cost,Team_C_gohome_skill_sol_flag,Team_C_pref_match_after_skill,Team_C_pref_match_after_pref,Team_D_skill_sol_flag,Team_D_pref_sol_flag,Team_D_total_skills,Team_D_work_cost,Team_D_train_cost,Team_D_excess_after_skill,Team_D_excess_after_pref,Team_D_present,Team_D_gohome_cost,Team_D_gohome_skill_sol_flag,Team_D_pref_match_after_skill,Team_D_pref_match_after_pref,Team_E_skill_sol_flag,Team_E_pref_sol_flag,Team_E_total_skills,Team_E_work_cost,Team_E_train_cost,Team_E_excess_after_skill,Team_E_excess_after_pref,Team_E_present,Team_E_gohome_cost,Team_E_gohome_skill_sol_flag,Team_E_pref_match_after_skill,Team_E_pref_match_after_pref,Team_F_skill_sol_flag,Team_F_pref_sol_flag,Team_F_total_skills,Team_F_work_cost,Team_F_train_cost,Team_F_excess_after_skill,Team_F_excess_after_pref,Team_F_present,Team_F_gohome_cost,Team_F_gohome_skill_sol_flag,Team_F_pref_match_after_skill,Team_F_pref_match_after_pref,Team_G_skill_sol_flag,Team_G_pref_sol_flag,Team_G_total_skills,Team_G_work_cost,Team_G_train_cost,Team_G_excess_after_skill,Team_G_excess_after_pref,Team_G_present,Team_G_gohome_cost,Team_G_gohome_skill_sol_flag,Team_G_pref_match_after_skill,Team_G_pref_match_after_pref
482,True,True,67,4160.0,0.0,0.0,0.0,13,,False,11.0,12.0,True,True,111,4160.0,0.0,3.0,3.0,16,4800.0,True,5.0,12.0,True,True,125,3840.0,0.0,3.0,3.0,15,4320.0,True,3.0,12.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,4.0,8.0,True,True,51,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,100,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,9.0,False,False,94,,,,,10,,False,,
483,False,False,67,,,,,12,,False,,,True,True,111,4160.0,0.0,1.0,1.0,14,4320.0,True,7.0,12.0,True,True,125,3840.0,0.0,3.0,3.0,15,4320.0,True,3.0,11.0,True,True,46,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,9.0,True,True,51,2880.0,320.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,100,3520.0,0.0,1.0,1.0,12,3680.0,True,5.0,11.0,True,True,94,3520.0,0.0,0.0,0.0,11,3520.0,True,11.0,11.0
484,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,12.0,True,True,111,4160.0,0.0,2.0,2.0,15,4640.0,True,7.0,12.0,True,True,125,3840.0,0.0,4.0,4.0,16,4480.0,True,3.0,12.0,False,False,46,,,,,7,,False,,,False,False,51,,,,,7,,False,,,True,True,100,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,5.0,10.0
485,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,1.0,1.0,14,4320.0,True,8.0,12.0,False,False,125,,,,,11,,False,,,False,False,46,,,,,8,,False,,,False,False,51,,,,,6,,False,,,True,True,100,3520.0,0.0,0.0,0.0,11,,False,6.0,10.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,3.0,10.0
486,True,True,67,4160.0,0.0,2.0,2.0,15,4480.0,True,10.0,13.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,5.0,11.0,True,True,125,3840.0,0.0,3.0,3.0,15,4480.0,True,5.0,10.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,51,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,100,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,5.0,8.0
487,True,True,67,4160.0,0.0,0.0,0.0,13,,False,8.0,11.0,True,True,111,4160.0,0.0,1.0,1.0,14,,False,7.0,11.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,2.0,11.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,51,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,8.0,True,True,100,3520.0,0.0,1.0,1.0,12,3680.0,True,5.0,11.0,False,False,94,,,,,8,,False,,
488,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,320.0,4.0,4.0,17,4800.0,True,4.0,13.0,True,True,125,3840.0,0.0,5.0,5.0,17,4640.0,True,2.0,12.0,True,True,46,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,51,2880.0,0.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,100,3520.0,0.0,2.0,2.0,13,4000.0,True,4.0,10.0,False,False,94,,,,,10,,False,,
489,False,False,67,,,,,10,,False,,,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,7.0,12.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,3.0,11.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,5.0,8.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,9.0,True,True,101,3520.0,0.0,0.0,0.0,11,,False,8.0,9.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,8.0,10.0
490,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,False,False,111,,,,,12,,False,,,True,True,125,3840.0,0.0,1.0,1.0,13,4000.0,True,2.0,9.0,False,False,46,,,,,8,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,4.0,10.0
491,True,True,67,4160.0,0.0,1.0,1.0,14,4480.0,True,9.0,12.0,True,True,111,4160.0,0.0,0.0,0.0,13,4160.0,True,5.0,12.0,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,4.0,10.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,52,2880.0,320.0,1.0,1.0,10,3040.0,True,5.0,8.0,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,10.0,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,11.0
492,True,True,67,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,7.0,12.0,True,True,125,3840.0,0.0,3.0,3.0,15,4480.0,True,4.0,11.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,9.0,False,False,101,,,,,10,,False,,,True,True,94,3520.0,0.0,0.0,0.0,11,,False,4.0,9.0
493,False,False,67,,,,,10,,False,,,True,True,111,4160.0,0.0,2.0,2.0,15,4640.0,True,3.0,11.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,3.0,10.0,False,False,46,,,,,6,,False,,,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,101,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,6.0,10.0
494,False,False,67,,,,,12,,False,,,False,False,111,,,,,12,,False,,,True,True,125,3840.0,0.0,2.0,2.0,14,4320.0,True,5.0,10.0,False,False,46,,,,,8,,False,,,False,False,52,,,,,6,,False,,,False,False,101,,,,,10,,False,,,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,7.0,11.0
495,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,0.0,0.0,13,4160.0,True,5.0,11.0,True,True,125,3840.0,0.0,2.0,2.0,14,4320.0,True,2.0,10.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,101,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,False,False,94,,,,,9,,False,,
496,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,False,False,111,,,,,12,,False,,,True,True,125,3840.0,0.0,1.0,1.0,13,4000.0,True,4.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,False,False,94,,,,,8,,False,,
497,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,4.0,11.0,True,True,125,3840.0,0.0,4.0,4.0,16,4480.0,True,3.0,12.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,52,2880.0,0.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,101,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,4.0,10.0
498,True,True,67,4160.0,0.0,1.0,1.0,14,4480.0,True,9.0,12.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,6.0,11.0,True,True,125,3840.0,0.0,0.0,0.0,12,,False,6.0,9.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,52,2880.0,0.0,0.0,0.0,9,,False,5.0,8.0,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,10.0,False,False,94,,,,,10,,False,,
499,False,False,67,,,,,11,,False,,,True,True,111,4160.0,0.0,3.0,3.0,16,4640.0,True,2.0,12.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,2.0,11.0,False,False,46,,,,,7,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,1.0,1.0,12,3840.0,True,3.0,9.0,False,False,94,,,,,10,,False,,
500,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,0.0,0.0,13,,False,8.0,10.0,False,False,125,,,,,11,,False,,,True,True,46,2880.0,0.0,0.0,0.0,9,,False,4.0,8.0,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,False,False,101,,,,,10,,False,,,False,False,94,,,,,10,,False,,
501,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,1.0,1.0,14,4320.0,True,4.0,11.0,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,4.0,10.0,True,True,46,2880.0,320.0,2.0,2.0,11,3200.0,True,4.0,9.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,101,3520.0,0.0,1.0,1.0,12,3840.0,True,3.0,9.0,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,6.0,11.0
502,False,False,67,,,,,11,,False,,,True,True,111,4160.0,0.0,0.0,0.0,13,4160.0,True,6.0,11.0,True,True,125,3840.0,0.0,0.0,0.0,12,,False,5.0,9.0,False,False,46,,,,,5,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,0.0,0.0,11,,False,6.0,9.0,False,False,94,,,,,10,,False,,
503,False,False,67,,,,,12,,False,,,True,True,111,4160.0,0.0,1.0,1.0,14,4320.0,True,8.0,12.0,True,True,125,3840.0,0.0,4.0,4.0,16,4480.0,True,3.0,12.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,8.0,True,True,101,3520.0,320.0,1.0,1.0,12,3680.0,True,6.0,11.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,5.0,10.0
504,True,True,67,4160.0,0.0,0.0,0.0,13,,False,11.0,11.0,True,True,111,4160.0,0.0,1.0,1.0,14,4320.0,True,7.0,12.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,4.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,9.0,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,6.0,11.0
505,True,True,67,4160.0,0.0,2.0,2.0,15,4480.0,True,10.0,13.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,4.0,11.0,True,True,125,3840.0,0.0,3.0,3.0,15,4320.0,True,3.0,12.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,8.0,True,True,101,3520.0,320.0,2.0,2.0,13,3840.0,True,4.0,10.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,7.0,11.0
506,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,7.0,12.0,True,True,125,3840.0,0.0,1.0,1.0,13,4000.0,True,1.0,9.0,True,True,46,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,8.0,8.0,True,True,101,3520.0,0.0,1.0,1.0,12,,False,5.0,9.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,5.0,11.0
507,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,6.0,11.0,True,True,125,3840.0,0.0,2.0,2.0,14,4320.0,True,3.0,9.0,False,False,46,,,,,8,,False,,,False,False,52,,,,,7,,False,,,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,10.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,3.0,10.0
508,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,8.0,13.0,True,True,125,3840.0,0.0,2.0,2.0,14,4320.0,True,3.0,9.0,False,False,46,,,,,7,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,0.0,0.0,11,,False,5.0,9.0,True,True,94,3520.0,0.0,0.0,0.0,11,3520.0,True,8.0,10.0
509,False,False,67,,,,,11,,False,,,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,6.0,12.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,4.0,12.0,True,True,46,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,9.0,False,False,52,,,,,7,,False,,,False,False,101,,,,,9,,False,,,False,False,94,,,,,10,,False,,
510,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,7.0,11.0,True,True,125,3840.0,0.0,3.0,3.0,15,4320.0,True,2.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,5.0,11.0
511,True,True,67,4160.0,0.0,1.0,1.0,14,4480.0,True,10.0,12.0,False,False,111,,,,,12,,False,,,True,True,125,3840.0,0.0,1.0,1.0,13,,False,4.0,9.0,True,True,46,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,9.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,9.0,True,True,101,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,False,False,94,,,,,10,,False,,
512,True,True,67,4160.0,0.0,1.0,1.0,14,4480.0,True,10.0,12.0,False,False,111,,,,,12,,False,,,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,4.0,10.0,False,False,46,,,,,8,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,2.0,10.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,7.0,9.0
513,False,False,67,,,,,12,,False,,,False,False,111,,,,,11,,False,,,True,True,125,3840.0,0.0,0.0,0.0,12,,False,4.0,8.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,5.0,11.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0
514,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,7.0,11.0,True,True,125,3840.0,0.0,0.0,0.0,12,,False,5.0,9.0,False,False,46,,,,,6,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,10.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,6.0,10.0
515,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,False,False,111,,,,,10,,False,,,False,False,125,,,,,10,,False,,,False,False,46,,,,,7,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,9.0,True,True,101,3520.0,0.0,2.0,2.0,13,4000.0,True,4.0,10.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,7.0,11.0
516,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,12.0,True,True,111,4160.0,0.0,0.0,0.0,13,,False,5.0,9.0,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,5.0,10.0,False,False,46,,,,,8,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,True,True,94,3520.0,0.0,0.0,0.0,11,3520.0,True,6.0,10.0
517,False,False,67,,,,,12,,False,,,False,False,111,,,,,11,,False,,,False,False,125,,,,,11,,False,,,False,False,46,,,,,8,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,94,3520.0,0.0,0.0,0.0,11,3520.0,True,7.0,10.0
518,True,True,67,4160.0,0.0,0.0,0.0,13,,False,11.0,11.0,False,False,111,,,,,11,,False,,,True,True,125,3840.0,0.0,2.0,2.0,14,4320.0,True,2.0,10.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,,False,7.0,7.0,True,True,101,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,7.0,10.0
519,False,False,67,,,,,12,,False,,,False,False,111,,,,,11,,False,,,True,True,125,3840.0,0.0,0.0,0.0,12,,False,3.0,8.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,False,False,101,,,,,10,,False,,,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,5.0,9.0
520,False,False,67,,,,,12,,False,,,False,False,111,,,,,11,,False,,,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,5.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,8.0,True,True,101,3520.0,0.0,2.0,2.0,13,4000.0,True,5.0,10.0,True,True,94,3520.0,0.0,0.0,0.0,11,3520.0,True,5.0,10.0
521,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,0.0,0.0,13,,False,5.0,10.0,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,7.0,9.0,False,False,46,,,,,7,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,9.0,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,94,3520.0,0.0,2.0,2.0,13,4000.0,True,2.0,10.0
522,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,4.0,11.0,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,5.0,9.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,4.0,8.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,9.0,True,True,101,3520.0,0.0,1.0,1.0,12,3840.0,True,4.0,10.0,False,False,94,,,,,9,,False,,
523,False,False,67,,,,,12,,False,,,True,True,111,4160.0,0.0,0.0,0.0,13,,False,8.0,11.0,True,True,125,3840.0,0.0,0.0,0.0,12,,False,6.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,52,2880.0,0.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,101,3520.0,0.0,0.0,0.0,11,,False,5.0,9.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,7.0,11.0
524,True,True,67,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,True,True,111,4160.0,0.0,3.0,3.0,16,4640.0,True,5.0,13.0,True,True,125,3840.0,0.0,3.0,3.0,15,4320.0,True,3.0,12.0,False,False,46,,,,,7,,False,,,False,False,52,,,,,6,,False,,,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,False,False,94,,,,,10,,False,,
525,False,False,67,,,,,12,,False,,,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,4.0,11.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,3.0,11.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,101,3520.0,0.0,0.0,0.0,11,3520.0,True,5.0,9.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,4.0,10.0
526,False,False,67,,,,,12,,False,,,True,True,111,4160.0,0.0,3.0,3.0,16,4640.0,True,5.0,13.0,True,True,125,3840.0,0.0,3.0,3.0,15,4320.0,True,3.0,11.0,False,False,46,,,,,7,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,101,3520.0,0.0,1.0,1.0,12,3840.0,True,4.0,10.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,7.0,11.0
527,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,0.0,0.0,13,,False,8.0,10.0,True,True,125,3840.0,0.0,4.0,4.0,16,4480.0,True,3.0,12.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,11.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,4.0,9.0
528,True,True,67,4160.0,0.0,2.0,2.0,15,4480.0,True,10.0,13.0,True,True,111,4160.0,0.0,3.0,3.0,16,4640.0,True,5.0,13.0,True,True,125,3840.0,0.0,2.0,2.0,14,4320.0,True,4.0,10.0,False,False,46,,,,,7,,False,,,False,False,52,,,,,8,,False,,,True,True,101,3520.0,0.0,1.0,1.0,12,3840.0,True,3.0,9.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,3.0,9.0
529,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,1.0,1.0,14,4480.0,True,7.0,11.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,6.0,11.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,10.0,True,True,94,3520.0,0.0,0.0,0.0,11,3520.0,True,11.0,11.0
530,True,True,67,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,4.0,12.0,True,True,125,3840.0,0.0,1.0,1.0,13,4000.0,True,2.0,10.0,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,101,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,10.0,10.0
531,True,True,67,4160.0,0.0,2.0,2.0,15,4480.0,True,10.0,13.0,True,True,111,4160.0,0.0,1.0,1.0,14,4320.0,True,6.0,11.0,True,True,125,3840.0,0.0,3.0,3.0,15,4480.0,True,2.0,10.0,True,True,46,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,9.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,101,3520.0,0.0,2.0,2.0,13,4000.0,True,2.0,10.0,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,6.0,11.0
532,False,False,67,,,,,12,,False,,,True,True,111,4160.0,0.0,0.0,0.0,13,,False,6.0,10.0,True,True,125,3840.0,0.0,2.0,2.0,14,4160.0,True,2.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,52,,,,,8,,False,,,False,False,101,,,,,9,,False,,,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,5.0,11.0
533,False,False,67,,,,,12,,False,,,False,False,111,,,,,11,,False,,,False,False,125,,,,,11,,False,,,False,False,46,,,,,8,,False,,,True,True,52,2880.0,0.0,1.0,1.0,10,3040.0,True,5.0,8.0,True,True,101,3520.0,0.0,0.0,0.0,11,,False,5.0,10.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,3.0,10.0
534,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,111,4160.0,0.0,2.0,2.0,15,4480.0,True,5.0,12.0,True,True,125,3840.0,0.0,0.0,0.0,12,,False,5.0,10.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,4.0,8.0,True,True,52,2880.0,0.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,101,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,4.0,10.0
535,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,111,4160.0,0.0,0.0,0.0,13,,False,8.0,11.0,True,True,125,3840.0,0.0,1.0,1.0,13,4160.0,True,3.0,8.0,True,True,46,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,52,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,101,3520.0,320.0,1.0,1.0,12,3840.0,True,2.0,9.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,8.0,10.0
536,True,True,67,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,False,False,111,,,,,11,,False,,,False,False,125,,,,,10,,False,,,False,False,46,,,,,8,,False,,,False,False,52,,,,,7,,False,,,True,True,101,3520.0,0.0,2.0,2.0,13,3840.0,True,5.0,11.0,False,False,94,,,,,10,,False,,
